,pcstrip,Year,PracticeListSize,HBT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
0,AB101NW,2018,10517.75,S08000020,392709.0,805764.0,S01006571,S02001247,1.0,S99999999,S12000033,100.0,6.368910176063416,0.16792079529818385,5.766993254693014,5.84207321042797,0.7863838601318914,4.165458515890735,0.6865604682935085,0.062477669310779194,0.09782070415921451,18.079784695416485,0.029654880163261812,-0.1519113697686801,-0.8723229813093,-0.8589595202904244,-1.305914001252851,-0.8408709442735158,0.3801881000813082,-0.09473566681481031,0.2924765626284466,-1.2276355618808412,-0.4032870140008981
1,AB101QB,2018,8454.5,S08000020,393104.0,805894.0,S01006571,S02001247,1.0,S99999999,S12000033,100.0,6.008975838712157,0.21042549186847795,7.738887972278614,7.800540997440458,0.8546774428820069,5.4993886536453145,0.7568339773009729,0.32420008311560305,0.7867528172995951,21.45504248496499,-0.2437633020143127,0.17446182824908876,0.34931457472258615,0.3479884445712642,-1.0736692782921058,0.5941905751521173,0.6068377008585838,0.18068385272387538,7.937172924624715,0.4216711290446744,9.003381449013215
2,AB101UT,2018,8601.25,S08000020,393066.0,806091.0,S01006584,S02001249,1.0,S99999999,S12000033,-110.0,6.265210063341924,0.2482039573308141,7.278649804982526,7.352552114638292,0.9965978705225588,5.357966160478749,0.9422892415331069,0.9813185287720126,0.1104347256282713,22.144137936617458,-0.04911919991082044,0.46454456225367985,0.06418564523460467,0.0719056445556782,-0.5910431065117895,0.44204619203906975,1.204977201702245,0.8721922487822359,0.43244734087404135,0.7583949617000705,2.99694779825706
3,AB101YE,2018,9168.0,S08000020,393170.0,805747.0,S01006571,S02001247,1.0,S99999999,S12000033,100.0,6.679053266846714,0.3277711490256415,5.9205471207582585,5.989316577333806,0.978873972366403,4.350681578692849,1.3612922653397048,0.673390486812749,0.13776181550798924,20.360379296417868,0.2652499632023913,1.0755029011230541,-0.7771925628410786,-0.7682176233826004,-0.6513164389582984,-0.6416052687975072,2.5563665006221177,0.5481489536896187,0.7356808534405499,-0.11323181281984473,4.412731548695131
4,AB107QQ,2018,10022.25,S08000020,391998.0,803177.0,S01006528,S02001239,1.0,S99999999,S12000033,72.0,6.496070324319461,0.33675838918504913,5.10073861675226,5.149732069070735,0.8451590517548282,4.187732325914008,0.7980775355954193,0.5252907381045276,0.08524993192468829,18.338820433944026,0.12624998925303094,1.144511611897608,-1.285084210562666,-1.2856296637017777,-1.1060382948430774,-0.8169084542219733,0.7398584672056526,0.3922984820390067,0.1529856970760892,-1.101058748084508,1.2702745837696097
5,AB116FD,2018,338.75,S08000020,394049.0,805758.0,S01006587,S02001250,1.0,S99999999,S12000033,-30.0,15.48890505687118,0.0,0.6600166044148991,0.6600166044148991,0.10354172645423725,0.27514585218790916,4.918937462584884,16.121694690387482,0.016658674498990986,37.568241392900596,6.957508555167807,-1.4412946943742175,-4.036221346733484,-4.0525135403778965,-3.628042608008701,-5.026126111843098,14.030659944217804,16.804932083501907,-0.6081333248211108,8.295323581122064,31.69115902331429
6,AB117XH,2018,6939.75,S08000020,393585.0,805015.0,S01006602,S02001252,1.0,S99999999,S12000033,11.0,6.504349763510917,0.254189115458154,7.311225129519129,7.340588106336269,1.0785192452113113,4.252102650816392,0.7579415164658069,0.7567719942700094,0.15486322045338752,20.944462392068857,0.13253932866375964,0.5105017236095183,0.08436686459633977,0.0645325666998805,-0.31245460371251926,-0.7476579187960082,0.6104097910117616,0.6358941887592285,0.9254456295012528,0.17217813740577195,2.8793232282454015
7,AB118ER,2018,7314.5,S08000020,394822.0,804928.0,S01006625,S02001257,1.0,S99999999,S12000033,22.0,7.160259569967043,0.32442905473325423,5.911310061741425,5.947357594513868,1.2724600073402268,4.10940351004266,1.1211201368055128,2.729895229776959,0.14022467344064202,22.664925103179527,0.6307903937702922,1.0498405604807806,-0.7829151493978619,-0.7940757504644058,0.34707615683100534,-0.9011757380456697,1.7817514597776216,2.712279797517988,0.7630098176719324,1.0128756004882142,6.143596278754209
8,AB124QP,2018,14975.0,S08000020,392486.0,796620.0,S01006852,S02001295,6.0,S99999999,S12000034,94.0,6.688360992538784,0.16745863724207496,6.369793145388866,6.403328062828117,0.9641164403807275,4.320740295870267,0.6742013966876118,0.08874671231023029,0.07810126209390544,19.30695253785781,0.2723204234915124,-0.15546006002959,-0.4988735376454795,-0.5130741264303388,-0.7015021048668822,-0.6738165380422784,0.34032701039021707,-0.06709184717983893,0.07366088523158398,-0.6279847323369901,-0.049317714526454254
9,AB125NA,2018,12605.75,S08000020,393796.0,803326.0,S01006607,S02001253,1.0,S99999999,S12000033,93.0,6.287615012420718,0.1400359973666212,6.4091051320393575,6.445747339570583,0.8476416381062216,4.779442494967243,0.9026246949006135,0.2803541154924732,0.07565820574757637,19.68346129282447,-0.03209964991738168,-0.3660253715461641,-0.4745187894603092,-0.48693233330270047,-1.0975958093826916,-0.1803380145657399,1.0770491419505777,0.13454322930185258,0.0465516481867314,-0.4440051824841136,0.3730866646729154
10,AB140RP,2018,7983.75,S08000020,384452.0,800914.0,S01006511,S02001236,3.0,S99999999,S12000033,12.0,5.561992718368585,0.28979368126859273,6.975162254676479,7.066741480663603,0.8657596865369133,4.201131692362002,0.7107611600065337,0.29860501387739397,0.16060272316474977,18.99478543308362,-0.5833066563043254,0.7838921238531543,-0.12383239950965709,-0.1042313158269031,-1.03598209739204,-0.8024932201478961,0.4582413692685415,0.1537492789146795,0.9891336978324182,-0.7805239831714541,1.697478497737565
11,AB154ZT,2018,6808.0,S08000020,392174.0,805747.0,S01006571,S02001247,1.0,S99999999,S12000033,100.0,6.5747894365879604,0.19605653120943542,7.454394906974538,7.541532285331755,1.1729896993651174,5.427920174719017,0.5713530039522655,0.3595605554559962,0.12743561113185461,21.84420168662155,0.18604766439976517,0.0641294645130601,0.17306408330100023,0.18836874593026065,0.008809321379906877,0.5173037419843368,0.008615281699187233,0.21789489690259356,0.6210967086143949,0.611832270843935,1.2861527620592617
12,AB157YT,2018,10096.75,S08000020,391517.0,805001.0,S01006545,S02001242,1.0,S99999999,S12000033,86.0,5.423787737319162,0.3146758309698486,8.373897225373822,8.419044693125306,0.6167800614414136,5.264927825315493,0.5906099168247524,0.03703454683513536,0.1016654961029572,20.666860611831115,-0.688291790438784,0.9749502286469502,0.742718515151362,0.7291546714128091,-1.8826825006312708,0.341954192581766,0.07072363058337808,-0.12151034180703907,0.33514007972156434,0.036529098989602056,1.3001664781188786
