,pcstrip,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
10,CF119EE,2018,7801.0,7A4,316930.0,176639.0,W01001861,W02000400,C1,W99999999,W06000015,17,8.244308547088634,0.3171769906947961,9.029781430173315,9.061403145192935,1.4090641646178046,5.095142953449036,0.40923028616083684,0.39792582248161656,0.026860795758419036,24.934251909685656,0.6480603487515689,1.408429716450458,0.36876625585524075,0.3570715597197164,-0.03806681278253634,-0.17237949307016603,-0.18978457210374353,-0.12392908076827219,-0.17685058048779845,0.14999520239185696,1.9229973915619294
11,CF119SH,2018,8053.0,7A4,317072.0,176424.0,W01001857,W02000408,C1,W99999999,W06000015,85,6.865778066289969,0.1474473522297585,7.992232277934134,8.052379373474288,2.1665484760750062,5.772158766870047,0.37458578661716835,0.0,0.07862806626736879,23.378897821556237,0.13004398895645372,0.2348979547517762,0.02409377902481076,0.024126933384652546,1.0625489658210245,0.1404896636387471,-0.27921289827251417,-0.16523956233555795,0.5461108747778499,-0.02359317209728151,0.49072729126266024
12,CF141LT,2018,8271.0,7A4,315421.0,179876.0,W01001891,W02000386,C1,W99999999,W06000015,-10,7.072522772844163,0.2814782394127409,7.56688519913261,7.6296008351454025,1.346433637143325,5.571630678676512,0.4284415726806374,0.0,0.03632787986636956,22.330107735902786,0.20773334134136814,1.1616041245188349,-0.11720596648287293,-0.11537606586247008,-0.12906823118560357,0.047819665972759544,-0.14019421231664683,-0.16523956233555795,-0.04463698613530261,-0.14064546748029783,0.9038906392102256
13,CF142FD,2018,6692.0,7A4,314811.0,179268.0,W01001789,W02000389,C1,W99999999,W06000015,-50,7.553216762440275,0.22872251959914858,8.225915281927826,8.272596231004538,1.4739168364652255,6.6778033021561285,0.2364024445726843,0.0,0.023948752625358824,24.442658096238,0.38836580042323343,0.7968445376109776,0.10172296854884934,0.09679124655361465,0.056163355209402764,0.5590149571635948,-0.6359074716165048,-0.16523956233555795,-0.21751903606939177,0.09512990089133136,0.2633355145663711
14,CF142ST,2018,0.0,7A4,315896.0,178671.0,W01001788,W02000389,C1,W99999999,W06000015,-109,21.11111111111111,0.0,0.0,0.0,2.2222222222222223,4.444444444444445,0.0,0.0,0.0,27.777777777777775,5.483074386711629,-0.784571317585345,-2.6309153727774146,-2.632893165401615,1.1434422629319805,-0.47308664015332114,-1.2461363737166191,-0.16523956233555795,-0.5519779495798715,0.4673525405228607,0.1022560180926202
15,CF143NB,2018,7857.0,7A4,317466.0,178875.0,W01001755,W02000391,C1,W99999999,W06000015,-35,7.084632790002636,0.12787238364165032,8.89711985468931,8.98680178448597,1.4099189509527443,6.818669403476281,0.194698057611011,0.041761673303811246,0.022777544441237977,24.664355043474103,0.21228397485500217,0.09955419522841584,0.324696253288501,0.3324555666570734,-0.036824818310387405,0.6241133750368879,-0.7435595828896419,-0.16090409391966792,-0.23387567154362748,0.11987282791588001,-0.49404561161244587
16,CF143QX,2018,7945.0,7A4,318047.0,178967.0,W01001726,W02000394,C1,W99999999,W06000015,106,8.499045862871139,0.327808909532266,6.9097603670866325,6.9378311983513585,1.635515711971764,5.114055012868347,0.18169849545299285,0.09294263337834938,0.019164137142214342,22.788897824426215,0.7437840914352857,1.4819401213297068,-0.3355019796975365,-0.3436372720776966,0.29096461709288124,-0.1636396675522811,-0.7771155326083878,-0.15559076669056388,-0.2843391047840957,-0.08944129069101667,0.6650415366042484
17,CF143XQ,2018,10088.0,7A4,317200.0,178551.0,W01001755,W02000391,C1,W99999999,W06000015,-35,7.966115569340911,0.14604031642063223,6.547256900671634,6.5904096922449105,1.391004570840302,5.525618534222736,0.26652633342215765,0.0,0.04637984853871376,21.885715016491652,0.5435225705444824,0.2251695347375121,-0.45592515903243813,-0.4582749315397277,-0.06430718973298759,0.026556084608420766,-0.5581482604001077,-0.16523956233555795,0.09574487731230351,-0.19024279736558608,-0.31722577168109534
18,CF144QJ,2018,10580.0,7A4,316752.0,180458.0,W01001773,W02000378,C1,W99999999,W06000015,96,6.242133751836074,0.3021304998251134,8.304691031182498,8.402975428653487,1.2600072811935037,6.226863609822615,0.20429006884153034,0.0,0.021265732242936514,22.638400640172325,-0.10430553184134521,1.304396413266824,0.1278921698355386,0.13981208953054192,-0.2546447079611962,0.35062230448086124,-0.7187995915422084,-0.16523956233555795,-0.2549890494796619,-0.10623782710623542,0.2008747675985924
19,CF144UU,2018,7861.0,7A4,317498.0,180491.0,W01001769,W02000384,C1,W99999999,W06000015,113,6.2060088409932685,0.46396900085303666,9.60627315981806,9.725038375672483,1.3250407928351997,7.163378617859065,0.040082641801444045,0.15268145326778793,0.019932068032795854,25.076199723282286,-0.11788034579966374,2.4233678724624705,0.5602760574873733,0.576049338071213,-0.1601517818791315,0.7834137622298626,-1.1426704956713225,-0.14938900928134707,-0.2736144822814997,0.16583756935677146,1.3158628774998509
