,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
10,AL35NF,2015,9840.5,Q58,06N,514956.0,207822.0,E01023728,E02004935,C1,E12000006,E07000240,7.0,4.949618792156416,0.016161233447982898,8.551285300811815,8.720963491057043,1.4471597582377909,5.0892653611215435,0.49052601199931245,0.0,0.025203375997977995,20.71369464802009,,,,,,,,,,,0.0
11,AL35NP,2015,12606.75,Q58,06N,514557.0,208092.0,E01023670,E02004932,C1,E12000006,E07000240,41.0,6.164588771419652,0.11804829487304257,8.706345108363518,8.764621632347383,1.5537613223043019,5.720806961852041,0.2245539055903223,0.017192501522710023,0.049764740447905374,22.563573389909454,,,,,,,,,,,0.0
12,AL37BL,2015,7458.25,Q58,06N,510675.0,212320.0,E01023724,E02004929,D1,E12000006,E07000240,-30.0,4.720402544254712,0.022468627874361834,7.858275936267911,8.033936761817417,1.3227848909901225,5.424313094675917,0.5644601409580154,0.0,0.01048356110523197,20.088366060570547,,,,,,,,,,,0.0
13,AL38LJ,2015,4072.0,Q58,06N,506287.0,216438.0,E01023432,E02004856,D1,E12000006,E07000096,-31.0,3.3395456401450967,0.05381676038057145,12.117791293742167,12.270374550018788,1.6650882282255275,5.9420004023746005,0.9652425964920036,0.0,0.08614335775266622,24.236068177636586,,,,,,,,,,,0.0
14,AL52BT,2015,15977.25,Q58,06N,513330.0,214114.0,E01023701,E02004926,C1,E12000006,E07000240,96.0,4.2064018356676405,0.025768138481407868,8.626680226410498,8.937219713163591,1.4295028254669815,6.523467380672588,0.42584547561225294,0.0,0.0195491223890937,21.54820536906446,,,,,,,,,,,0.0
15,AL54HX,2015,12693.25,Q58,06N,513518.0,214340.0,E01023701,E02004926,C1,E12000006,E07000240,96.0,4.328999657648665,0.08474022422860024,7.990018765102467,8.03633037604875,1.1417135003034242,5.027407590522813,0.39215038236544264,0.0,0.07625608939839087,19.011341731117692,,,,,,,,,,,0.0
16,AL54QA,2015,14499.5,Q58,06N,513688.0,214647.0,E01023689,E02004925,C1,E12000006,E07000240,11.0,4.032536505915398,0.04486793690658184,8.492507198801691,8.593539854132134,0.8837275249476195,5.4424558493733555,0.42351619209323815,0.03345047804082738,0.0976632036145955,19.454094341409153,,,,,,,,,,,0.0
17,AL69EF,2015,16185.0,Q58,06K,523032.0,216103.0,E01023969,E02004981,C1,E12000006,E07000241,50.0,4.371400733991619,0.02459716676883396,10.511087556172898,10.667476314762444,1.4613372607903,7.157912500013814,0.4191019087039159,0.0,0.0298304485978802,24.101825885030923,,,,,,,,,,,0.0
18,AL73UJ,2015,21823.75,Q58,06K,524364.0,212468.0,E01023954,E02004986,C1,E12000006,E07000241,16.0,5.692924805094819,0.04954731188131171,9.17467536483238,9.445680028608729,1.8850239006603005,6.693176439526094,0.26230564617718016,0.00022319834297550173,0.08563852626343914,24.02888133029141,,,,,,,,,,,0.0
19,AL74HL,2015,7229.0,Q58,06K,524835.0,210869.0,E01023942,E02004988,C1,E12000006,E07000241,12.0,6.113899631932935,0.007032116729332585,6.167892645553029,6.320708951172706,1.3316130800909367,3.560895948757153,0.3117962300075341,0.0,0.08557104701032615,17.645945958690596,,,,,,,,,,,0.0
